"GEO_ID","NAME","B07201_001E","B07201_001M","B07201_002E","B07201_002M","B07201_003E","B07201_003M","B07201_004E","B07201_004M","B07201_005E","B07201_005M","B07201_006E","B07201_006M","B07201_007E","B07201_007M","B07201_008E","B07201_008M","B07201_009E","B07201_009M","B07201_010E","B07201_010M","B07201_011E","B07201_011M","B07201_012E","B07201_012M","B07201_013E","B07201_013M","B07201_014E","B07201_014M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Different house in United States 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Estimate!!Total!!Abroad 1 year ago","Margin of Error!!Total!!Abroad 1 year ago"
"0400000US01","Alabama","3373411","1321","2845344","8749","517050","8575","361995","7671","181891","4560","180104","4952","115126","3431","52116","2289","63010","2858","26510","1968","11571","1400","14939","1314","13419","1075","11017","994"
"0400000US02","Alaska","470609","505","369242","3726","97105","3730","64092","3171","47278","2509","16814","1626","22057","1806","9721","1054","12336","1473","4344","648","2310","431","2034","506","6612","821","4262","590"
"0400000US04","Arizona","5853760","2135","4680946","13223","1133424","13355","851978","12612","553311","8611","298667","8397","231499","6387","112575","4299","118924","5189","36473","2305","15748","1509","20725","1778","13474","1411","39390","2587"
"0400000US05","Arkansas","1737785","915","1419496","7471","311536","7382","224184","6629","133986","4749","90198","3987","56284","2488","30086","1841","26198","1926","15196","1427","8854","1193","6342","928","15872","1732","6753","899"
"0400000US06","California","36018787","4742","30333604","39625","5419296","38674","4183086","36816","2307104","25564","1875982","21465","1153647","10668","612669","8278","540978","8306","59167","2588","27258","1861","31909","2152","23396","1924","265887","6686"
"0400000US08","Colorado","4298806","1466","3460795","11522","808308","11017","547058","9121","306705","6297","240353","5797","218170","4971","106529","3274","111641","3222","23953","1608","12370","1144","11583","1111","19127","1781","29703","1866"
"0400000US09","Connecticut","3231536","1118","2835893","7043","372597","6806","252601","5975","111822","3831","140779","4371","107933","3060","46341","1970","61592","2295","10604","938","3565","589","7039","761","1459","453","23046","1735"
"0400000US10","Delaware","693947","564","591823","3772","98296","3655","71954","3000","18915","1437","53039","2742","22963","1831","8521","1193","14442","1369","3025","573","457","189","2568","529","354","211","3828","638"
"0400000US11","District of Columbia","598701","582","480853","3045","109808","3250","77618","2480","65537","2300","12081","976","29648","1607","17552","984","12096","1056","1468","250","964","225","504","150","1074","284","8040","653"
"0400000US12","Florida","17583454","2845","14693404","24679","2740348","23008","1949059","20661","833946","12805","1115113","14724","690387","9868","287547","6666","402840","7114","64092","3208","27127","2010","36965","2297","36810","2301","149702","5479"
"0400000US13","Georgia","7771420","2168","6422210","17081","1305844","16015","950805","14601","265080","6250","685725","11768","281668","6555","134668","4336","147000","4484","44865","2686","22116","1982","22749","1628","28506","1918","43366","2503"
"0400000US15","Hawaii","942910","636","798791","3496","129319","3421","83727","3408","32845","1793","50882","2668","37404","1999","16863","1288","20541","1431","7306","861","2157","416","5149","729","882","278","14800","1456"
"0400000US16","Idaho","1015255","852","833531","4628","177686","4673","121502","4001","69533","2911","51969","3009","34534","2244","17293","1634","17241","1494","13840","1437","7570","1116","6270","992","7810","992","4038","723"
"0400000US17","Illinois","11015390","2521","9566598","16410","1385101","15916","1121950","15466","571739","9265","550211","10994","217977","4736","112168","3536","105809","3147","31425","1962","16358","1475","15067","1086","13749","1286","63691","2594"
