"GEO_ID","id"
"NAME","Geographic Area Name"
"B07201_001E","Estimate!!Total:"
"B07201_001M","Margin of Error!!Total:"
"B07201_002E","Estimate!!Total:!!Same house 1 year ago"
"B07201_002M","Margin of Error!!Total:!!Same house 1 year ago"
"B07201_003E","Estimate!!Total:!!Different house in United States 1 year ago:"
"B07201_003M","Margin of Error!!Total:!!Different house in United States 1 year ago:"
"B07201_004E","Estimate!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:"
"B07201_004M","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:"
"B07201_005E","Estimate!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from principal city"
"B07201_005M","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from principal city"
"B07201_006E","Estimate!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area"
"B07201_006M","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area"
"B07201_007E","Estimate!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:"
"B07201_007M","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:"
"B07201_008E","Estimate!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from principal city"
"B07201_008M","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from principal city"
"B07201_009E","Estimate!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area"
"B07201_009M","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area"
"B07201_010E","Estimate!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:"
"B07201_010M","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:"
"B07201_011E","Estimate!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from principal city"
"B07201_011M","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from principal city"
"B07201_012E","Estimate!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from remainder of Micropolitan Statistical Area"
"B07201_012M","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from remainder of Micropolitan Statistical Area"
"B07201_013E","Estimate!!Total:!!Different house in United States 1 year ago:!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"B07201_013M","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"B07201_014E","Estimate!!Total:!!Abroad 1 year ago"
"B07201_014M","Margin of Error!!Total:!!Abroad 1 year ago"
