"GEO_ID","id"
"NAME","Geographic Area Name"
"S1703_C01_001E","Total!!Estimate!!Population for whom poverty status is determined"
"S1703_C01_001M","Total!!Margin of Error!!Population for whom poverty status is determined"
"S1703_C01_002E","Total!!Estimate!!SEX!!Male"
"S1703_C01_002M","Total!!Margin of Error!!SEX!!Male"
"S1703_C01_003E","Total!!Estimate!!SEX!!Female"
"S1703_C01_003M","Total!!Margin of Error!!SEX!!Female"
"S1703_C01_004E","Total!!Estimate!!AGE!!Under 18 years"
"S1703_C01_004M","Total!!Margin of Error!!AGE!!Under 18 years"
"S1703_C01_005E","Total!!Estimate!!AGE!!Related children under 18 years"
"S1703_C01_005M","Total!!Margin of Error!!AGE!!Related children under 18 years"
"S1703_C01_006E","Total!!Estimate!!AGE!!18 to 64 years"
"S1703_C01_006M","Total!!Margin of Error!!AGE!!18 to 64 years"
"S1703_C01_007E","Total!!Estimate!!AGE!!65 years and over"
"S1703_C01_007M","Total!!Margin of Error!!AGE!!65 years and over"
"S1703_C01_008E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S1703_C01_008M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S1703_C01_009E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S1703_C01_009M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S1703_C01_010E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S1703_C01_010M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S1703_C01_011E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S1703_C01_011M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S1703_C01_012E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S1703_C01_012M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S1703_C01_013E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S1703_C01_013M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S1703_C01_014E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S1703_C01_014M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S1703_C01_015E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1703_C01_015M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1703_C01_016E","Total!!Estimate!!Hispanic or Latino origin (of any race)"
"S1703_C01_016M","Total!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S1703_C01_017E","Total!!Estimate!!White alone, not Hispanic or Latino"
"S1703_C01_017M","Total!!Margin of Error!!White alone, not Hispanic or Latino"
"S1703_C01_018E","Total!!Estimate!!LIVING ARRANGEMENT!!In family households"
"S1703_C01_018M","Total!!Margin of Error!!LIVING ARRANGEMENT!!In family households"
"S1703_C01_019E","Total!!Estimate!!LIVING ARRANGEMENT!!In married-couple family"
"S1703_C01_019M","Total!!Margin of Error!!LIVING ARRANGEMENT!!In married-couple family"
"S1703_C01_020E","Total!!Estimate!!LIVING ARRANGEMENT!!In Female householder, no husband present households"
"S1703_C01_020M","Total!!Margin of Error!!LIVING ARRANGEMENT!!In Female householder, no husband present households"
"S1703_C01_021E","Total!!Estimate!!LIVING ARRANGEMENT!!In other living arrangements"
"S1703_C01_021M","Total!!Margin of Error!!LIVING ARRANGEMENT!!In other living arrangements"
"S1703_C01_022E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1703_C01_022M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1703_C01_023E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S1703_C01_023M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S1703_C01_024E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S1703_C01_024M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S1703_C01_025E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S1703_C01_025M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S1703_C01_026E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S1703_C01_026M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S1703_C01_027E","Total!!Estimate!!CITIZENSHIP STATUS!!Native"
"S1703_C01_027M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Native"
"S1703_C01_028E","Total!!Estimate!!CITIZENSHIP STATUS!!Foreign born"
"S1703_C01_028M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Foreign born"
"S1703_C01_029E","Total!!Estimate!!CITIZENSHIP STATUS!!Naturalized citizen"
"S1703_C01_029M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Naturalized citizen"
"S1703_C01_030E","Total!!Estimate!!DISABILITY STATUS!!With any disability"
"S1703_C01_030M","Total!!Margin of Error!!DISABILITY STATUS!!With any disability"
"S1703_C01_031E","Total!!Estimate!!DISABILITY STATUS!!No disability"
"S1703_C01_031M","Total!!Margin of Error!!DISABILITY STATUS!!No disability"
"S1703_C01_032E","Total!!Estimate!!WORK STATUS!!Population 16 to 64 years"
"S1703_C01_032M","Total!!Margin of Error!!WORK STATUS!!Population 16 to 64 years"
"S1703_C01_033E","Total!!Estimate!!WORK STATUS!!Worked full-time, year-round"
"S1703_C01_033M","Total!!Margin of Error!!WORK STATUS!!Worked full-time, year-round"
"S1703_C01_034E","Total!!Estimate!!WORK STATUS!!Worked less than full-time, year-round"
"S1703_C01_034M","Total!!Margin of Error!!WORK STATUS!!Worked less than full-time, year-round"
"S1703_C01_035E","Total!!Estimate!!WORK STATUS!!Did not work"
"S1703_C01_035M","Total!!Margin of Error!!WORK STATUS!!Did not work"
"S1703_C02_001E","Less than 50 percent of the poverty level!!Estimate!!Population for whom poverty status is determined"
"S1703_C02_001M","Less than 50 percent of the poverty level!!Margin of Error!!Population for whom poverty status is determined"
